monthly_income_after_tax_and_401k,rent,groceries,entertainment,utilities,healthcare,other,savings
5391,591,399,257,168,418,179,1188
3719,1636,398,287,109,181,163,904
4316,1250,428,205,130,171,258,21
4486,1356,428,207,69,311,209,658
4311,1425,233,239,107,273,167,1023
3215,1312,368,204,173,282,239,1038
3636,1530,329,363,154,531,140,844
3876,1391,420,215,205,201,157,192
3963,1498,386,207,170,82,185,230
4310,1944,401,165,69,309,205,765
4089,1292,296,153,197,401,217,904
4552,1315,385,42,128,221,189,681
4190,1288,456,366,95,278,212,434
4305,1043,470,193,178,311,238,991
4280,1100,436,180,162,157,277,1095
4540,1970,333,102,146,119,202,539
4417,1048,644,168,136,298,284,662
4230,1219,436,161,128,434,206,915
3965,1090,290,160,150,265,187,442
3170,1208,299,217,156,278,175,762
2905,1269,448,206,59,415,136,305
4104,581,370,132,107,285,177,1024
4136,1014,417,135,183,98,237,338
3362,1263,403,135,144,780,162,1292
3459,1108,477,291,152,242,161,500
4527,1173,394,275,128,282,175,970
3980,1448,399,157,164,340,231,1112
4341,1491,479,101,205,449,168,619
4014,1038,367,206,174,288,102,741
4015,1614,441,202,137,373,112,653
4469,1198,390,319,97,335,156,1634
3742,1180,350,237,132,293,203,1202
4048,1122,400,223,134,258,187,339
3769,1311,435,144,162,239,194,189
3783,1696,468,215,130,607,268,785
3845,992,474,243,126,146,287,640
4111,889,385,164,28,155,146,1293
3761,1354,351,399,149,31,136,732
4628,1414,384,172,140,320,252,717
3553,1311,341,300,138,343,204,210
3907,1419,582,134,109,213,201,410
3780,1074,250,258,163,197,150,316
4723,1111,436,116,119,271,134,548
4098,1325,290,290,177,391,77,476
4516,1652,363,0,183,198,205,517
3257,1412,364,209,113,315,244,504
4134,1421,459,239,296,249,227,864
4445,1085,344,133,183,148,213,1114
4041,1384,411,245,155,172,151,930
4533,1064,202,251,120,391,131,42
3741,1654,452,212,73,240,89,107
4705,1098,430,237,150,424,140,546
5149,1141,406,252,154,296,300,204
3819,1005,372,166,177,163,161,743
3777,1317,307,130,91,348,199,560
4727,1309,412,199,180,220,202,771
4790,1603,427,171,184,262,241,1340
3739,1455,321,219,163,413,202,436
3790,1142,338,227,109,171,195,147
2242,942,413,358,143,255,257,293
3328,1051,417,235,115,192,168,0
3541,1156,350,233,111,181,201,479
3498,1324,371,236,115,253,148,0
3616,1074,197,180,157,214,208,557
3983,1513,643,239,125,273,240,1046
4117,1756,335,226,143,364,169,843
4775,551,427,232,170,225,283,870
3501,1170,398,284,150,153,202,706
6026,1274,464,216,138,364,228,465
3893,557,360,170,146,224,123,0
3975,1352,403,144,198,483,270,112
4337,577,315,256,189,564,255,917
3439,1364,303,218,159,286,101,855
4191,1158,430,284,135,70,131,1186
4083,900,311,99,150,184,240,85
4246,1066,389,359,212,72,247,1151
4145,1211,451,187,144,329,107,94
5228,1408,437,182,138,292,237,1007
3681,1478,367,24,82,363,167,766
3735,1462,321,390,147,381,195,309
3688,962,425,231,156,396,88,851
3722,1165,467,143,161,530,162,0
3681,1120,367,101,144,309,188,186
4595,1287,360,235,205,358,154,331
4710,1304,374,209,151,613,169,1017
3715,1026,429,255,185,206,142,790
3584,1212,461,185,152,454,262,616
4236,1416,338,87,137,119,174,723
3724,1174,325,209,164,350,248,1034
4316,1260,517,209,78,334,228,489
4101,1639,391,216,145,188,255,433
3242,1698,413,255,63,540,177,436
4774,868,365,102,113,264,190,244
4898,1811,424,188,126,638,205,1039
3694,2440,448,19,149,335,139,99
3806,2002,415,250,160,297,204,503
4143,1304,645,196,100,319,185,998
4167,1563,384,235,135,366,259,518
4329,1344,387,215,140,361,271,196
5005,1442,276,0,212,453,290,919
3912,1258,423,193,148,404,110,871
3601,1341,411,246,112,681,235,709
3310,783,336,234,176,364,0,667
3635,2175,416,172,142,342,166,289
3983,1214,381,169,172,316,276,1470
4897,1208,371,219,180,213,149,1240
3741,915,402,179,124,316,210,309
4112,1223,352,11,138,93,153,708
3992,1491,343,303,139,407,79,687
4594,1393,269,157,255,335,125,763
5263,1576,487,429,199,284,85,1018
3735,919,428,291,200,258,178,560
3755,1272,394,211,144,365,136,786
4522,2263,367,195,196,229,258,1073
4341,1204,256,134,161,338,229,825
4923,1011,364,175,139,490,154,434
4292,1182,436,280,126,378,148,1147
3820,1365,447,218,164,219,171,553
4295,1548,432,201,198,349,181,732
4554,1249,300,266,187,339,261,494
4410,1511,465,235,126,219,174,1233
4254,1489,384,193,160,259,205,392
4533,1065,454,211,124,257,172,630
4585,1550,541,162,156,310,228,1840
5909,1896,356,350,164,272,236,0
4324,1059,350,190,159,327,259,278
5081,1652,347,228,180,343,246,1314
4073,1275,433,138,128,427,79,658
4603,911,363,204,190,355,124,956
3592,1159,348,181,139,230,210,65
4184,1110,436,155,116,511,212,548
3803,1164,519,181,180,230,186,525
4014,1211,448,84,164,261,248,607
4639,1249,426,162,179,33,275,735
4096,1241,362,295,155,300,166,0
4023,1281,404,186,85,614,122,547
3320,1417,406,86,125,236,222,994
4373,1151,354,210,154,136,170,536
4323,1536,345,245,148,129,93,249
3845,1055,366,194,204,301,343,347
3846,1423,652,225,126,354,222,1035
4110,1629,540,174,176,158,165,0
4125,1265,635,122,168,322,192,881
4789,1339,377,200,78,169,216,898
3952,1106,444,102,149,208,273,274
4140,1198,445,134,153,363,231,1870
4304,1614,448,177,189,225,125,1054
4093,1450,419,188,98,431,274,689
3777,1384,469,343,173,242,285,1009
4097,912,419,88,281,411,221,862
6039,1157,486,105,189,527,256,1138
2216,1648,319,92,131,0,139,376
4066,1382,417,237,173,547,349,396
3650,1407,414,324,117,301,243,930
4598,1854,552,186,212,32,354,640
3238,1177,555,183,137,270,163,861
3721,1367,325,222,105,260,150,981
2241,994,367,160,124,440,214,552
4783,979,432,73,283,432,238,518
5431,1153,478,140,149,431,143,353
3722,1338,388,169,180,170,173,544
4941,986,508,253,197,319,317,743
3276,1325,440,162,179,0,232,365
2901,1101,422,206,178,718,188,731
4220,1128,371,243,120,252,249,1021
3749,1560,348,254,127,737,237,848
3489,1307,426,212,115,250,211,1024
3295,1119,396,209,151,124,213,572
4122,1337,333,231,208,389,0,175
3718,332,324,223,142,396,247,1077
3360,1376,352,135,203,314,160,666
6165,1521,491,136,102,89,244,1616
4325,1432,645,95,136,744,386,849
3950,1732,410,238,122,226,172,364
4923,190,407,180,163,352,116,155
2136,1325,383,241,58,251,236,527
3237,1031,353,220,100,261,239,359
3654,1265,469,150,125,350,222,933
3977,1300,494,194,185,218,127,0
4122,1756,355,177,179,283,215,894
3879,737,396,170,125,351,288,808
4176,1284,378,246,128,517,282,1301
3374,1501,206,326,146,293,381,372
4722,1289,459,256,124,384,229,696
3959,1666,334,199,162,183,225,1224
6212,1434,423,263,144,469,175,1799
4171,1466,436,286,179,219,283,403
4228,926,393,130,143,287,210,205
4285,1697,445,261,177,351,445,699
4224,1169,407,238,134,222,186,1068
4321,1298,461,259,135,408,231,951
4665,1169,324,241,149,234,195,650
4098,1095,383,189,103,383,124,1516
4355,1060,396,302,148,804,162,529
3955,1321,266,217,183,358,180,763
4720,906,346,178,116,371,276,168
3662,1251,359,77,180,553,145,310
4900,1512,447,249,152,342,151,753
5260,1426,365,354,155,311,164,1080
3285,2085,359,220,162,334,261,0
4064,367,441,204,141,427,193,296
3659,983,319,167,161,533,194,0
4420,2215,296,159,143,77,122,0
2103,1210,382,130,132,209,283,641
3777,1283,328,276,185,416,298,320
3055,1260,330,189,113,164,278,1148
3774,1434,429,29,135,326,191,94
2788,1669,444,220,175,330,181,648
1436,1592,439,73,122,289,192,252
4380,834,455,107,145,295,113,680
2465,1238,462,158,3,0,130,28
4213,1031,294,0,137,213,231,470
3517,1488,423,163,107,394,123,530
3976,887,374,151,226,0,45,467
3998,1421,363,193,155,291,210,778
3421,1221,235,179,148,269,267,351
4752,1092,313,256,183,101,317,490
4439,1126,312,225,172,469,173,665
5151,1724,432,113,139,197,221,1262
4013,1047,424,169,274,355,197,1426
4104,1715,407,216,146,253,181,325
2979,1093,356,153,130,216,189,0
3876,1082,437,301,113,276,131,902
3659,1379,434,206,194,264,157,1030
3499,1371,404,162,188,281,178,95
3859,1379,144,144,144,221,145,1080
4899,1535,379,246,147,0,174,1041
4320,1284,442,168,143,664,324,140
3714,1144,466,52,93,301,217,0
4286,1742,384,2,147,294,178,351
3365,1481,388,204,86,211,195,873
4462,1330,392,44,115,457,261,430
4030,1317,414,184,150,291,169,640
3677,1358,371,160,174,110,213,0
4349,1260,255,251,100,328,267,1018
4197,1326,460,175,145,1,198,483
4448,1400,490,193,148,57,189,1099
4318,1155,175,195,145,404,275,158
4525,973,347,281,160,392,72,0
3732,885,393,245,173,254,227,894
4659,1478,391,240,151,289,195,1059
4099,983,450,121,196,325,142,358
5038,1393,403,167,143,389,302,1982
3655,1069,360,259,119,196,255,632
4868,1072,334,141,204,309,196,680
2635,1156,443,36,223,487,260,516
3674,1339,430,147,168,246,250,732
3758,1042,453,32,82,297,170,984
3840,509,352,284,158,561,186,345
4212,1295,492,236,129,276,239,684
4261,1058,313,249,195,146,156,586
3713,1586,435,239,150,294,234,627
3988,955,305,193,130,136,189,1251
5071,1256,360,165,160,406,162,672
4864,1555,478,180,189,202,153,644
4218,1035,442,190,126,342,189,636
4019,1278,373,289,173,282,215,554
4060,1327,562,133,181,381,171,536
4307,1139,405,172,147,238,182,810
3489,1285,426,154,109,349,209,551
3871,708,463,130,38,491,345,666
3166,1207,377,293,186,39,216,670
4200,1453,319,215,139,359,221,998
4324,1379,408,220,128,432,200,1080
3758,1183,377,205,185,144,306,926
4787,1525,335,222,167,228,101,994
5314,1152,415,239,94,261,146,184
3268,1471,389,221,148,227,158,273
4112,1155,415,225,152,219,244,445
6425,1237,355,239,173,263,177,873
4842,1267,424,111,141,644,240,391
3771,1368,334,200,321,449,72,259
4539,817,359,215,159,69,216,57
2891,1392,388,221,103,399,138,333
3914,1280,288,191,139,483,244,626
4442,1357,439,208,183,503,146,546
4326,1400,454,164,141,317,161,513
3212,2171,471,111,153,443,131,553
4738,899,580,249,149,16,144,979
4690,1088,264,143,77,278,198,808
2555,1367,471,192,138,295,182,475
4198,1340,451,163,136,401,163,935
4247,1142,450,279,200,447,121,421
4130,1448,294,196,190,358,163,1075
3725,1249,555,184,198,543,253,367
2169,1477,375,237,0,251,207,249
3987,1542,416,308,282,115,219,0
4586,1356,391,220,150,43,269,442
4272,1411,416,181,155,329,245,75
4921,1178,478,435,115,196,262,1314
4386,1478,376,121,148,347,209,1034
2576,1344,385,202,129,346,170,229
4574,1241,409,300,116,152,85,480
3130,1056,389,397,140,268,205,9
5164,1775,304,205,38,441,99,340
3440,1078,371,201,51,237,183,695
3353,1452,434,180,70,302,431,913
4580,1544,472,216,129,316,100,634
3766,1483,342,239,223,297,112,591
4173,1797,342,353,138,369,148,667
3977,781,402,75,200,144,169,384
4239,1419,296,223,157,734,190,744
4038,1064,378,307,135,269,292,484
3359,1261,313,181,180,352,236,711
4498,1005,468,126,87,84,213,645
3753,1414,362,234,167,288,191,7
3222,1229,483,287,156,228,195,639
3786,889,573,226,159,314,245,613
4750,1163,368,286,134,239,260,488
4425,1659,346,240,175,230,163,643
3826,1382,390,235,160,322,221,211
3825,869,395,174,176,281,98,163
2691,1325,417,214,124,318,254,297
5038,1264,361,199,183,145,272,905
4191,1303,437,197,134,282,218,798
4215,1349,413,56,106,74,192,147
4515,1081,383,211,205,195,121,671
4119,1453,364,135,175,291,144,164
3870,1524,495,394,208,421,211,607
3902,1261,359,156,149,354,260,509
3964,1614,403,187,180,309,285,655
3981,1152,404,217,187,262,90,308
4364,1652,413,154,140,275,178,1207
4026,1210,367,214,102,431,212,1380
4366,1431,393,181,162,189,244,544
3960,1262,450,262,159,227,180,302
4039,1251,411,236,160,407,185,157
3001,629,388,142,150,654,356,62
6094,1106,394,274,135,192,105,1522
4173,1448,397,200,132,369,180,411
4499,1101,414,203,171,415,178,64
2552,1393,352,101,57,137,218,83
5044,1318,327,207,99,406,408,122
3930,1451,433,196,94,215,168,1087
4554,1178,267,135,90,372,199,1329
1531,1516,437,204,146,264,203,194
4306,637,408,180,167,322,186,490
3473,1818,275,189,277,189,251,0
3688,977,436,201,113,128,191,20
4957,1786,439,176,99,315,307,290
3905,1275,357,212,155,271,160,812
4109,1345,345,196,165,211,238,1591
4435,1179,381,224,167,132,255,990
4248,986,399,280,220,0,144,564
4075,670,388,147,175,352,225,668
4182,1227,306,165,155,274,128,669
5202,1337,486,272,120,240,230,600
3971,1524,386,248,131,321,86,526
4101,1338,409,261,123,79,242,0
4525,1342,462,264,126,327,224,337
4553,1377,283,177,183,256,226,490
4594,949,374,215,166,513,187,171
4319,967,258,204,117,236,151,729
3428,326,383,233,136,159,283,693
4817,1954,566,186,168,310,262,1340
3427,1494,472,205,89,274,263,364
4151,1162,434,204,168,395,188,0
3623,1026,448,227,209,247,213,1117
3968,1398,402,394,159,38,232,198
4164,1388,330,205,144,213,212,1473
4161,1240,296,206,104,381,206,1256
4211,920,324,397,81,314,241,482
4807,1253,418,282,135,272,0,567
4227,1366,402,114,165,75,276,108
3878,1462,389,152,145,298,203,0
2485,1651,382,234,187,156,161,499
4595,1524,615,213,161,416,157,606
3386,1333,359,213,64,410,116,884
4299,1243,446,414,188,304,227,1185
4351,1151,400,25,168,293,162,0
3851,1571,397,172,103,200,205,593
6063,1333,459,231,120,473,212,2195
3925,1426,473,201,135,449,66,186
4063,1182,388,178,203,339,187,1072
3913,1052,440,235,172,382,301,719
4008,1220,418,233,199,423,234,712
3452,1239,400,211,245,403,214,489
3280,1338,410,286,174,555,181,70
4797,1153,183,266,114,269,57,0
3577,1305,205,250,141,347,205,299
3504,1536,371,328,134,320,211,122
2923,965,445,193,125,375,151,581
3681,877,395,177,189,364,156,1315
3338,1549,335,243,146,325,173,998
4821,1007,364,70,178,40,211,473
4505,1224,240,201,146,57,118,1193
3656,1422,375,151,139,9,103,852
5126,1288,402,230,132,507,236,876
4491,1285,393,126,151,252,173,1429
2239,1314,499,195,127,116,263,0
894,1804,429,199,149,282,147,72
5145,1656,427,178,244,346,28,1175
3305,1161,318,112,110,256,256,597
3177,1510,382,0,139,437,261,263
4511,1401,376,163,97,234,203,53
5220,1296,558,423,191,290,141,0
4692,1118,360,214,165,275,108,633
4282,1390,310,199,136,577,195,942
4297,1239,336,156,22,209,245,1201
4427,1224,444,217,150,358,160,197
4379,1147,393,110,157,0,238,531
4141,1500,375,80,163,334,118,227
4052,1146,400,188,127,205,201,783
3969,1148,458,173,156,697,242,826
3623,2216,400,251,207,391,248,221
3860,839,427,208,134,327,213,59
4271,1277,243,283,181,161,178,1390
3951,1507,369,173,150,295,166,607
3506,1563,418,224,146,270,117,559
3448,874,495,187,154,383,174,105
4090,1274,471,269,134,210,274,544
4696,1018,429,190,154,416,190,374
4459,1223,408,64,179,98,204,403
1525,1299,470,146,177,163,213,82
3505,1229,440,179,184,278,182,925
4470,1095,285,196,13,0,243,352
3509,1085,347,263,152,401,208,826
3888,1446,417,90,215,231,191,106
4275,1607,311,183,121,85,163,1236
3516,888,355,182,147,410,238,580
4053,1234,556,96,203,325,34,875
3333,2182,387,177,153,114,201,0
3699,1293,386,123,181,251,198,787
4160,1077,520,83,201,390,223,1531
1795,1204,441,87,120,378,151,299
4220,1360,387,185,125,75,148,1709
3990,1239,381,188,197,320,67,0
4276,2022,333,213,59,395,240,225
4112,1296,593,156,131,354,124,789
4682,1195,366,290,179,365,233,247
4063,1463,346,198,99,506,265,1485
3785,1205,411,453,119,296,0,163
4061,1099,362,116,188,330,58,911
4272,1217,374,158,90,206,90,340
4024,765,266,234,89,237,322,0
5226,1302,384,189,175,267,185,707
3649,1551,516,317,199,385,180,419
3669,1550,396,108,193,225,215,696
3299,1391,431,237,72,423,157,772
3472,1426,303,233,194,191,200,267
3378,1732,520,212,152,364,192,796
3654,1107,346,175,126,355,267,564
3641,1327,352,144,122,326,199,236
4447,1694,421,197,171,398,319,358
3853,1736,452,134,163,226,134,586
4624,1227,417,162,192,253,192,900
3663,1702,389,375,131,0,202,505
4139,1461,368,107,135,301,47,523
3582,1599,456,234,174,288,131,258
5073,1454,504,275,126,386,216,792
3406,1361,407,241,175,128,116,587
4155,2466,447,220,117,369,147,1426
4317,1194,417,177,211,280,164,230
4207,1680,438,168,210,120,230,1169
3907,1712,342,88,128,481,234,871
3935,1573,376,202,152,165,214,536
4022,553,420,180,154,116,177,1359
3926,1349,461,165,146,364,249,544
4482,1045,359,199,120,0,180,785
5105,678,298,203,153,162,150,572
3721,1424,176,168,106,353,241,804
2239,1015,451,281,196,200,85,334
3956,1240,321,237,198,454,201,234
6985,1689,341,245,190,316,169,1324
3598,1269,408,195,193,280,230,1110
4820,1507,394,226,56,218,207,429
4839,1413,430,155,123,322,195,1145
3723,1238,339,365,196,141,135,333
5537,1269,384,190,118,53,203,1048
4814,1333,460,37,164,145,216,981
3810,253,340,199,110,414,181,1044
3898,1489,474,185,155,208,197,268
3709,1276,347,316,167,157,237,477
3493,1496,442,222,144,0,170,331
3675,1378,381,279,151,522,127,813
3388,1267,343,84,228,409,241,726
5328,1340,215,202,149,220,63,901
3615,1340,427,178,162,0,236,514
4117,1595,400,113,185,220,170,981
3222,1313,456,156,177,209,200,79
4165,1358,472,233,175,354,214,682
4417,1048,341,185,238,266,233,1115
3003,1291,337,219,158,189,220,41
3066,1591,335,98,95,166,0,333
4614,1386,355,223,202,530,203,484
3395,1084,455,255,132,374,139,373
4836,1105,428,111,258,214,208,1584
4210,1152,373,219,30,421,103,0
3647,1500,399,267,243,185,110,382
3972,1475,663,384,125,286,189,811
4279,609,495,175,301,275,188,987
5903,1284,413,239,146,318,208,1511
4269,1330,267,271,172,206,183,29
3540,1108,415,220,151,313,324,954
4085,1222,447,264,198,125,217,1064
3293,1111,411,198,154,262,233,237
3944,1382,436,366,60,434,266,232
3548,1200,418,169,153,403,221,104
3632,1263,213,192,167,230,249,0
4618,1254,356,222,122,147,156,1611
4546,1356,384,165,84,82,168,707
4305,1014,453,189,164,362,104,0
3454,1166,362,238,214,328,243,0
3842,1507,423,303,138,339,191,192
4607,1285,415,98,173,469,215,477
4071,1130,479,299,194,315,240,898
5160,1138,398,187,133,323,249,1303
4197,1444,312,248,35,160,173,744
4096,1196,432,458,149,462,166,638
3845,1402,367,278,184,284,178,684
4067,1175,436,164,95,0,275,1112
3924,1074,361,4,75,621,207,617
4354,1349,346,197,131,500,252,863
4478,1281,352,182,123,514,249,153
3607,1437,500,266,128,203,180,608
3334,889,384,196,158,418,133,329
3082,1228,367,119,154,334,158,577
4254,1370,392,168,144,399,176,484
3448,1222,384,121,109,328,263,643
2924,1427,478,189,142,361,284,207
4194,1347,349,234,184,432,237,201
5246,1175,459,167,101,125,205,351
3997,1158,406,180,129,336,206,289
4419,2153,460,186,116,183,238,793
4041,1532,479,366,117,568,240,912
3951,1480,404,226,143,300,231,645
4460,1575,384,71,131,199,250,719
3855,1132,403,313,124,242,167,622
4134,1162,395,206,151,160,191,1067
2667,1181,317,237,103,241,127,117
3666,1716,478,121,210,351,18,637
4496,1458,412,181,133,387,312,749
5485,1209,342,186,139,223,234,1305
2053,1392,297,149,140,433,180,144
4268,1237,284,173,207,358,285,1315
3551,1295,439,195,188,443,239,494
4014,1893,369,175,158,123,163,113
3995,1294,377,330,75,331,210,392
4543,1126,424,226,113,618,160,1002
4237,1296,374,300,131,128,221,551
3987,1591,427,275,169,541,147,313
4409,1404,405,168,186,236,207,1266
4695,1358,396,202,146,354,197,967
4279,1036,321,178,198,393,223,542
2595,625,359,192,173,310,230,451
3344,1433,430,151,214,439,230,802
4660,1354,366,178,133,500,209,1248
3847,1343,460,218,138,189,149,356
3695,1272,517,217,224,312,210,831
3907,1430,433,213,128,392,185,1328
4028,1108,475,197,173,137,280,355
4265,1366,436,243,113,406,235,811
3965,1106,373,187,106,471,113,782
4243,1121,410,430,148,428,212,570
2287,1445,501,108,194,344,322,141
3012,1107,374,233,70,454,154,185
3530,1340,348,224,174,336,229,456
3928,1231,343,166,200,506,179,267
3395,1086,389,1,163,248,281,31
4300,1466,350,35,55,274,167,112
4765,1441,484,246,194,294,194,465
4609,1029,411,113,179,291,231,608
3893,1396,449,231,128,266,133,355
4745,1367,385,177,125,322,192,284
4074,1467,343,256,148,450,227,1014
3831,1333,335,108,177,321,86,154
3693,1585,355,322,121,363,350,561
3849,1275,417,156,154,0,144,1035
3806,1246,426,271,177,313,141,622
4085,1105,430,197,143,409,264,1532
4080,1113,476,159,158,425,170,813
4002,1095,400,390,165,415,112,503
3091,1344,349,251,173,330,211,316
5699,1246,420,122,152,341,251,1252
4475,1366,424,235,146,233,158,942
3258,1058,341,199,180,385,215,653
2723,1129,448,229,73,233,345,225
4467,1125,385,201,176,368,147,539
1606,1734,442,171,231,304,156,16
3888,1267,392,144,196,301,231,545
3415,1287,384,234,167,400,242,632
3099,1285,390,233,119,356,205,256
4271,1611,362,233,153,328,54,477
4380,977,215,221,121,250,297,523
2503,1288,343,247,184,460,285,459
2704,975,306,270,76,333,238,89
3727,824,411,106,102,375,148,345
4196,1153,401,83,114,546,138,86
3261,1868,371,286,101,231,197,392
4092,1140,336,133,140,335,169,744
3992,972,242,146,137,240,101,803
4290,2011,350,186,175,344,373,904
4060,1272,393,117,93,0,126,417
3513,1553,488,181,134,260,259,885
4598,1181,433,153,158,299,188,1541
3921,2034,332,307,122,205,166,491
3986,939,188,214,100,336,197,634
3533,1320,408,183,171,258,140,438
2472,1249,331,180,167,299,262,280
5033,1535,300,213,86,245,192,426
3914,1380,427,252,137,397,254,783
4856,1152,241,280,132,355,254,1285
3314,1646,276,189,204,330,172,63
3193,813,413,291,93,306,206,665
6185,1350,295,244,26,553,163,410
3895,1309,367,138,173,284,265,732
3665,1244,426,137,146,230,175,674
4520,1194,476,171,182,424,233,896
5406,1314,221,272,91,391,427,968
4913,1512,349,175,111,463,282,586
4339,966,343,105,141,215,254,577
3756,1139,357,189,165,272,186,1073
5079,1090,410,101,150,264,273,818
3697,1081,293,147,251,288,253,779
4371,2085,422,171,140,419,129,532
4150,1418,432,345,111,381,255,608
6274,1513,310,251,256,419,222,1596
4781,1421,351,235,104,110,193,273
4016,1437,404,141,121,476,194,608
3623,1018,393,181,193,462,199,482
5874,1597,426,204,155,0,182,1588
3661,1258,393,187,148,83,221,1155
5007,2026,463,187,116,287,254,1113
4068,1025,384,114,126,432,147,1193
3817,1252,351,142,139,329,106,190
4092,1489,347,180,169,302,202,0
5040,1306,437,45,151,357,251,968
3514,1149,401,232,159,219,235,806
5893,1562,432,131,252,428,177,670
3672,1066,431,234,210,290,188,337
3477,1296,299,230,156,137,105,637
4268,1428,343,173,146,220,101,1234
4593,1719,349,250,194,337,177,837
5682,1208,359,237,166,271,92,1387
4498,1699,379,185,205,261,186,1071
3622,1211,287,0,79,320,157,738
3289,779,460,255,144,336,171,884
4751,1418,385,212,144,177,176,422
3839,1519,387,252,100,422,168,349
3875,1451,365,81,37,287,235,362
4664,1201,206,205,180,342,237,825
4278,1463,410,121,179,310,188,1205
4228,1318,544,199,89,259,206,925
5083,1449,440,236,189,391,274,0
3678,1460,285,287,82,308,121,1664
4464,1626,392,153,184,307,277,886
4029,793,318,174,165,51,280,1118
4134,1696,378,195,165,382,239,827
4764,1389,457,151,144,283,222,101
4254,1537,385,249,131,375,222,895
4269,1312,409,196,184,464,0,163
4536,1550,453,206,142,382,229,868
3818,1438,230,231,35,305,255,786
3580,1260,436,196,169,271,138,919
3478,1413,444,159,118,553,150,410
1579,1213,401,197,155,348,273,0
5028,1348,339,157,264,321,188,674
3448,1634,402,205,213,282,246,767
3889,1286,463,250,171,0,151,628
3862,1500,487,141,189,105,233,591
4154,1453,384,123,172,452,232,495
4408,1424,317,202,174,222,96,1038
4430,1357,442,162,178,281,239,1358
3708,1332,386,202,118,289,173,522
3916,1047,447,216,112,443,217,926
4141,1259,414,0,180,223,188,1047
3876,1337,356,234,251,326,249,302
4804,1816,403,142,155,351,256,334
4245,950,465,199,136,162,271,1131
3060,1526,393,167,139,152,264,253
4331,1310,348,172,188,228,253,564
4587,1342,321,285,10,324,193,896
4091,1411,361,216,150,312,192,262
3352,1104,379,408,126,288,176,470
4200,1219,441,208,103,365,163,801
1689,1601,344,402,153,214,122,0
3736,1202,478,103,172,283,230,617
2479,1247,333,350,118,289,199,45
4619,1166,517,255,45,217,209,501
4011,1152,486,208,114,817,235,556
4154,1521,407,314,154,84,202,0
4851,805,318,248,135,424,182,564
5285,1209,397,143,86,380,36,45
5301,628,381,191,139,381,170,43
4283,1639,336,220,253,585,251,640
3120,1073,415,202,119,800,30,793
4377,1039,359,234,186,255,222,1001
4191,1128,364,240,120,339,206,349
4645,1440,390,285,114,307,132,168
3331,1325,371,264,19,277,191,439
3931,1011,504,175,179,312,232,897
3388,1320,373,170,178,205,190,667
3895,1610,422,170,150,234,162,195
3575,1353,407,240,184,458,203,384
2667,1333,418,0,94,588,128,197
4294,1345,421,167,136,352,172,0
4835,1383,444,179,140,140,143,1255
4197,1047,413,110,112,325,212,865
3402,1254,411,158,146,346,254,1025
4222,1264,242,138,132,354,222,1213
4598,1203,393,187,120,404,285,771
3695,1437,354,233,246,454,253,933
3933,1173,397,228,195,212,156,491
2763,1228,412,263,136,583,55,505
3608,1048,420,252,197,314,220,351
3210,1376,409,174,152,314,361,487
3940,1488,388,201,143,259,33,826
4210,1228,397,198,166,259,105,906
3556,884,372,92,78,362,215,0
3781,1271,416,139,212,364,196,892
4361,795,389,192,104,95,150,130
3814,1290,409,191,156,255,220,373
4863,1265,450,226,174,30,204,0
3800,1321,365,223,152,120,163,324
4112,1351,430,111,132,301,203,1189
4466,1163,402,226,149,334,182,838
3291,1594,501,209,226,258,225,539
3120,1287,389,231,211,231,225,1072
3237,1260,435,253,138,330,174,256
4631,759,401,193,156,680,198,805
3724,1304,331,262,161,252,176,1002
5279,2441,374,156,192,138,272,1275
3718,1258,321,153,77,465,183,800
2559,1370,553,42,129,393,215,672
4771,1150,289,182,112,204,290,1146
5003,1474,398,213,71,366,74,1074
5031,1362,345,300,194,439,232,148
4604,1232,407,220,138,221,226,723
4512,1126,478,211,133,256,169,1161
4296,1038,438,157,176,399,131,351
4389,1384,477,115,118,423,178,358
3724,1023,372,77,199,236,186,583
3591,1562,241,253,148,138,217,924
3998,1047,348,184,161,425,131,273
3915,1264,244,220,151,358,152,306
3773,587,354,271,75,340,176,0
6206,1307,335,270,148,392,301,437
4478,1305,468,86,38,0,181,1024
4044,1389,295,209,57,339,160,282
4739,1685,469,124,184,271,240,212
3429,1147,462,47,165,360,119,391
3903,1494,276,186,130,380,156,437
3642,1432,344,157,199,398,101,839
4803,800,321,212,151,360,195,130
3959,1375,272,296,188,325,171,0
3939,1094,431,276,176,328,266,1032
4757,1182,586,212,29,337,210,947
4315,1255,348,239,182,238,197,128
3488,1611,356,164,176,263,150,922
4927,1091,484,273,152,340,187,0
4611,1019,389,122,137,365,246,1115
4291,1390,405,246,174,235,152,1125
3887,1294,325,225,71,192,243,1173
3520,1541,379,162,138,132,0,107
2598,556,426,190,168,174,189,381
4544,1542,418,143,140,246,236,8
3543,1303,375,261,134,484,231,1034
4772,1406,386,120,163,272,156,1035
3756,1625,378,238,174,179,333,595
3440,1267,386,260,271,119,196,247
4070,1509,421,92,146,313,287,521
3116,1177,302,292,116,313,285,477
4162,1346,497,199,141,362,257,1124
2418,1011,417,214,233,382,244,535
3767,1199,371,126,215,339,132,439
1392,1088,376,266,121,311,261,99
4257,1544,377,210,147,388,146,831
3734,1648,376,257,145,760,151,876
3415,1229,400,261,83,232,217,878
2564,1145,406,267,132,377,98,162
3986,1685,295,56,114,456,199,462
