monthly_income_after_tax_and_401k,rent,groceries,utilities,transportation,personal_care,healthcare_and_insurance,debt_payments,investments_and_savings,dining_and_going_out,other
4134,1206,367,121,209,116,482,369,339,209,274
4161,1276,447,156,354,196,594,192,744,285,107
3666,1384,429,88,205,0,540,330,349,181,363
4496,1314,411,193,358,58,448,168,439,286,322
3913,1314,387,186,194,70,552,290,395,215,206
3622,1480,545,43,1,106,460,336,469,255,473
4268,961,346,107,175,139,367,369,441,219,144
3551,1707,468,185,379,86,285,691,644,251,212
4014,1397,441,145,342,0,477,111,509,266,450
3995,1220,428,152,306,146,731,330,577,232,406
4543,1626,379,151,398,113,381,518,610,320,302
4237,1321,502,111,315,132,425,339,506,191,367
3987,1326,365,174,493,131,591,161,508,536,420
4409,1257,381,163,148,80,396,229,241,153,415
4695,1594,491,151,73,54,515,453,321,230,349
4279,1298,268,82,153,103,405,67,438,138,213
4005,1188,487,256,124,144,348,310,436,139,239
5182,1500,419,161,190,113,375,0,459,299,187
3467,1537,374,147,332,59,503,270,394,357,214
5808,1621,390,179,170,98,683,288,445,188,349
3695,1427,364,184,215,70,483,228,958,125,363
3907,1529,435,160,254,110,234,386,402,199,195
4028,1248,461,105,257,24,416,318,533,142,203
4265,1505,423,112,205,92,498,247,347,297,197
3965,830,414,129,339,81,366,344,533,245,261
5284,1406,348,143,252,113,476,336,466,244,179
4032,989,262,175,263,136,448,205,624,191,337
3012,554,442,160,436,149,618,283,447,146,230
3530,1875,414,64,380,112,473,283,899,500,260
3928,1406,385,230,17,138,493,241,0,192,332
3395,1780,402,127,291,70,619,164,243,122,296
3222,1472,355,169,181,90,567,238,443,316,177
4765,1138,326,157,93,71,571,427,543,385,243
2725,1204,385,92,301,85,357,235,458,44,52
3893,1578,357,175,171,69,628,390,342,227,301
4745,1195,375,149,292,149,645,296,240,336,305
4074,1504,376,90,411,89,599,317,365,178,271
3831,1323,396,130,109,96,569,178,478,284,268
3693,1267,393,173,79,54,543,416,450,157,232
3849,1198,52,133,181,40,652,903,532,236,752
3806,691,417,130,311,151,901,230,380,128,165
4085,1408,407,152,344,93,599,430,420,181,474
4080,1090,448,183,311,169,576,173,171,76,194
4002,1016,389,164,272,95,542,295,290,237,275
4218,1350,454,202,251,63,606,183,589,230,290
4595,1506,392,228,259,101,511,338,501,123,429
4475,961,417,161,339,102,593,280,549,365,321
3258,1501,354,143,202,104,583,295,332,364,200
2723,1119,638,103,539,98,479,431,639,189,218
4467,1430,465,154,163,123,554,424,449,127,418
3317,1416,494,151,277,54,345,283,298,259,404
3888,529,373,170,251,135,565,411,463,133,0
3415,1306,228,159,444,228,245,415,516,257,364
3099,1221,328,158,139,91,632,411,0,134,281
4271,1353,306,184,320,45,356,315,294,233,288
4380,1351,428,142,212,136,479,333,405,185,129
3712,1883,394,175,312,75,966,272,557,56,225
2704,1028,336,189,306,110,552,533,338,102,407
3727,1502,409,133,228,84,440,667,418,234,427
4196,1341,447,138,173,85,779,292,246,126,173
3261,1474,250,10,171,74,585,350,539,151,99
4092,1166,461,109,258,142,655,327,314,243,290
3992,1135,367,205,196,114,127,506,1164,203,123
4290,1098,454,246,233,110,439,298,529,228,282
4060,1264,381,156,157,191,549,377,388,256,408
3513,1346,462,140,288,112,552,288,107,212,251
4598,1191,336,202,183,64,463,131,704,190,70
3921,1613,412,168,219,116,741,300,51,125,443
5802,756,411,49,349,136,444,385,326,365,405
3533,1350,424,124,261,107,373,314,682,241,617
3778,1123,382,175,505,126,361,184,373,200,254
3558,1165,422,161,178,88,591,459,309,450,367
3914,1283,390,184,271,112,539,181,341,216,293
4856,1133,374,232,282,0,432,223,462,200,403
3314,1318,471,113,178,51,635,187,416,240,212
1575,1388,404,127,255,93,560,196,245,157,59
4736,1519,324,223,218,134,547,304,469,326,0
3895,1084,366,157,270,60,607,361,430,518,701
3665,1334,473,146,151,149,597,0,744,64,346
4520,1288,355,136,171,83,567,356,382,222,505
3697,930,427,141,146,117,493,377,646,0,208
4913,1074,365,170,164,44,499,267,507,101,390
4339,1395,328,219,414,155,326,149,206,283,127
3756,1029,424,130,288,49,532,451,513,247,339
5079,1285,384,111,257,77,559,233,551,102,385
3697,876,479,123,257,134,494,419,1034,187,364
4371,1279,456,182,177,164,293,261,410,114,401
4150,889,463,130,248,72,287,629,362,263,313
4651,1179,453,110,613,82,278,373,573,124,223
4781,1212,434,169,272,138,351,186,376,130,238
4016,1325,332,126,311,86,517,115,492,206,328
3623,1249,231,132,467,77,203,331,705,355,163
4230,1053,434,156,214,148,500,352,445,292,207
3661,1057,385,137,289,96,466,412,509,126,429
5007,977,399,208,180,120,418,400,368,108,300
4068,1341,436,199,241,72,446,315,153,156,39
3817,1332,453,198,264,88,481,208,549,95,313
4092,1434,354,168,221,94,569,252,480,259,231
3326,1200,434,145,187,83,576,276,967,249,446
3514,953,428,153,44,98,880,208,258,269,577
4600,1237,351,166,147,73,316,408,272,204,374
1727,605,563,150,271,98,91,403,466,209,231
3477,1067,407,126,313,134,520,160,401,120,276
4268,1086,469,29,212,50,142,268,219,221,249
4593,1390,529,109,455,96,696,506,245,295,185
4359,1320,421,168,193,194,436,416,362,168,318
4498,1941,458,123,194,83,463,319,325,464,245
3622,1644,493,167,475,159,470,410,0,205,255
4936,999,411,118,20,143,371,77,274,160,278
4751,1216,294,145,300,85,324,309,980,239,405
3839,1325,446,158,330,59,443,164,412,336,366
3875,1373,411,145,180,234,0,386,230,303,461
4664,1503,358,169,278,112,517,391,524,137,756
5494,1446,436,163,145,65,677,199,472,209,316
4228,1528,493,137,330,73,435,326,421,255,177
5083,1312,410,132,325,103,542,221,567,0,213
3678,1174,319,130,328,153,425,136,493,104,128
4464,1690,472,126,246,89,407,322,151,143,97
4029,1331,401,213,327,114,323,445,630,247,440
4134,1252,436,131,263,82,349,332,526,345,33
4764,1086,403,183,199,114,988,318,817,151,416
4254,1910,423,37,227,51,428,167,476,129,297
4269,1501,433,139,226,119,484,363,460,285,215
4536,1785,440,156,282,107,446,245,372,218,196
3818,1273,407,158,155,75,561,222,221,171,347
3580,1350,362,97,232,0,411,388,0,186,438
3478,2073,410,148,246,149,400,178,229,189,669
3017,1789,439,150,150,48,335,279,507,256,251
5028,1221,362,140,0,138,520,185,619,217,409
3448,1198,345,86,287,75,574,270,348,85,278
3889,1079,467,140,313,199,554,81,435,190,329
5590,1146,485,198,0,118,594,107,567,338,325
4154,1141,402,167,326,30,508,339,357,283,231
4408,992,430,118,94,67,553,254,303,294,308
4430,1499,419,177,182,99,583,324,492,137,404
3708,1372,291,117,643,71,393,210,182,227,331
3916,600,410,158,262,69,615,399,152,271,203
4141,1561,473,158,172,103,542,397,148,206,269
3876,1444,341,139,383,125,820,431,0,289,180
4804,1142,477,181,155,175,574,104,411,136,183
4245,1535,363,173,179,93,341,568,0,216,248
4367,1494,376,127,323,98,575,209,231,155,314
4331,1076,433,141,291,100,524,453,445,311,327
4587,1481,466,224,330,105,454,381,276,196,108
4091,1207,465,133,171,108,551,413,481,184,186
3352,1499,433,170,101,65,561,192,594,0,255
4200,1232,320,150,298,17,641,313,593,262,317
3674,1193,482,181,245,92,674,137,461,233,0
3736,1214,437,103,190,159,552,190,433,199,173
4293,1106,321,158,325,102,161,312,345,245,422
4619,1541,428,175,347,96,571,322,444,280,203
4011,800,414,153,379,99,446,339,518,215,476
4154,1089,377,212,173,0,597,594,561,233,134
4851,1826,273,119,342,97,442,27,607,241,312
2475,1396,410,177,489,101,480,43,736,68,354
5301,1673,426,134,203,101,445,457,578,235,300
4283,699,372,127,341,103,424,257,751,77,351
3120,1206,345,140,184,215,597,117,65,201,302
4377,1643,415,228,203,98,510,362,878,242,364
4191,1375,327,186,318,134,547,334,262,63,153
4645,1109,265,98,204,157,549,211,658,204,288
4337,1427,278,50,280,49,394,267,581,173,254
5917,1550,302,108,367,83,370,319,191,181,407
3388,1014,374,178,263,33,674,262,0,258,247
3895,1393,398,220,268,115,425,189,351,343,318
3575,1028,399,136,178,137,532,280,462,255,201
3710,1539,356,177,266,103,483,388,482,427,277
4294,1346,333,147,211,104,493,264,525,99,294
4835,1426,377,134,178,83,565,321,250,120,309
5411,1257,432,9,166,106,407,282,121,188,584
3402,944,429,136,167,98,463,176,519,74,248
4222,1212,429,182,205,133,625,289,701,113,393
4598,1486,296,99,293,161,497,255,346,105,288
3695,1699,348,280,148,147,635,376,763,116,257
3933,1356,381,235,256,168,564,424,368,276,386
4007,1163,391,117,278,120,574,388,516,215,211
3608,918,256,157,325,110,534,226,170,241,307
4324,1468,237,76,209,100,787,184,243,0,386
3940,1327,399,135,262,111,430,149,316,258,313
4210,1314,343,131,163,110,336,317,768,247,190
3556,1343,444,209,152,140,415,229,183,66,177
3781,1309,440,140,277,95,477,189,494,107,298
4361,1360,420,146,405,69,756,496,204,585,295
3814,2339,315,190,300,99,577,349,217,155,283
4863,893,351,148,159,72,374,334,522,276,69
3800,1252,415,173,165,2,283,14,349,201,701
4112,1114,373,136,296,48,455,462,139,162,283
4466,1536,388,129,304,101,565,283,0,190,325
3291,1272,345,161,254,74,519,362,297,51,140
3120,981,410,121,55,122,343,390,553,229,252
3237,1585,475,237,289,89,539,486,298,110,291
6229,1084,584,122,173,43,426,300,483,63,232
3724,1194,597,162,327,88,534,423,287,248,468
5279,1565,444,187,277,97,368,117,466,132,285
3718,1076,382,90,190,110,496,512,352,244,423
4092,1201,504,138,244,116,1012,342,690,428,447
4771,980,295,91,510,76,462,376,423,256,345
5003,1573,437,141,228,77,640,172,644,266,362
5031,1184,551,160,292,99,382,165,252,272,151
4604,825,408,140,313,109,458,235,495,160,292
4512,1435,580,86,264,184,837,302,566,235,256
2516,1139,386,177,462,129,435,275,267,244,271
4389,919,469,106,195,50,467,259,223,152,470
3724,1256,400,175,237,129,382,280,511,27,673
3591,1760,280,128,239,125,332,0,410,224,326
3998,1288,470,124,346,126,532,343,388,97,375
3915,1289,446,150,370,93,467,283,623,95,142
3773,1200,440,182,386,108,298,395,457,113,273
4348,1192,485,209,224,115,386,252,426,532,46
4478,1360,358,138,112,94,456,263,298,272,173
4044,1135,379,111,271,129,428,316,392,212,245
3400,1281,337,160,169,65,404,368,695,117,152
3429,1187,325,110,0,122,633,415,384,179,283
3903,1359,398,172,226,115,401,296,632,306,330
3642,2013,413,163,239,146,500,343,64,180,291
3067,1530,425,191,183,158,517,303,322,0,249
3959,1558,365,182,343,94,399,271,518,301,182
3939,1233,379,154,362,146,581,108,492,371,235
4757,1250,442,52,236,109,386,321,252,175,293
4315,1046,327,206,365,110,613,209,242,78,430
3488,807,401,123,282,112,433,387,1380,206,339
4927,1239,465,149,103,60,542,213,695,0,814
4611,1177,387,118,98,134,715,243,599,311,80
4291,1176,379,142,276,58,600,429,0,104,345
3887,960,462,136,238,115,372,353,497,0,167
3520,1032,329,168,180,25,243,270,416,172,233
3814,1309,360,149,283,93,639,357,500,252,200
4544,1316,362,180,249,100,521,33,210,121,50
4942,920,435,254,255,119,654,499,474,280,178
4772,1248,320,115,218,144,584,199,340,163,361
3756,1302,462,166,197,98,498,377,347,86,286
3440,972,399,146,161,63,624,350,401,137,386
5450,1289,452,142,109,87,464,371,170,97,384
3116,1174,462,231,218,107,673,218,580,103,104
4162,1062,194,52,240,105,453,266,495,345,364
3926,1459,401,142,219,48,459,340,400,210,178
3767,959,389,166,370,85,559,300,195,280,421
3203,1132,397,172,143,84,676,209,769,169,345
4257,1985,372,139,301,94,577,357,546,246,406
3734,919,456,210,315,118,476,528,304,140,421
3415,1177,391,133,195,76,546,258,264,328,313
2564,1326,383,151,295,132,627,349,176,181,357
3986,1223,456,101,237,122,513,323,406,137,177
4886,1103,442,147,311,37,478,263,270,104,332
6719,1181,414,144,177,87,477,381,304,114,347
2367,1463,380,149,270,106,579,379,545,104,221
2074,1666,473,179,255,145,614,245,0,329,339
4234,1328,347,200,62,64,320,443,173,184,347
5390,902,454,183,71,48,565,301,328,178,316
4151,1414,431,147,196,0,396,408,442,447,410
4383,1221,337,156,294,70,453,334,460,314,200
4613,1081,404,196,381,98,503,304,670,106,406
3950,1648,334,120,329,78,498,299,499,301,235
3898,1148,383,267,442,128,487,368,428,173,216
3561,1018,414,123,186,122,531,190,558,190,408
3587,1287,349,184,272,0,722,337,516,410,325
3887,1666,283,146,294,145,555,431,0,189,398
4184,1740,394,124,224,102,481,0,293,155,250
4457,1659,214,17,184,110,535,125,0,175,261
3598,1342,381,71,222,80,454,162,163,0,151
4746,1281,399,179,401,78,115,302,264,235,287
3864,1236,391,190,235,77,397,221,529,238,212
3989,1139,349,138,287,103,463,389,338,210,390
3626,1358,497,124,171,107,398,253,474,311,355
2788,1404,416,147,224,189,594,59,438,280,144
3232,815,379,175,274,108,546,494,562,586,614
4368,1274,359,127,221,101,384,302,357,144,737
3859,938,380,161,264,13,326,495,576,113,182
4033,1196,382,138,45,150,583,340,577,221,202
4258,788,402,111,255,104,561,677,240,387,583
3219,1246,457,39,194,66,369,325,468,125,261
3735,1208,360,109,312,115,442,437,380,225,356
4397,1198,409,136,264,89,567,181,330,71,373
5355,1361,440,138,434,70,254,400,639,174,248
4147,1251,366,134,190,79,397,239,433,102,178
3322,1408,527,283,173,133,440,438,210,231,525
4233,1053,325,162,340,69,578,88,462,259,460
3982,1315,484,131,197,71,470,523,413,44,317
4894,1174,320,160,182,102,578,273,271,152,745
4582,1226,371,103,176,90,426,179,528,319,229
3633,1354,369,125,101,71,541,391,479,112,319
3595,1199,348,111,415,128,517,351,536,159,209
4100,1279,408,117,257,87,215,345,454,0,484
4574,1069,383,242,184,61,454,393,295,287,296
3492,1519,354,195,224,109,535,304,420,271,883
4031,1446,361,175,156,124,832,271,283,174,245
4214,1320,436,189,264,114,543,184,471,251,246
4347,1251,381,84,239,120,582,289,498,221,622
2592,1279,339,125,145,10,477,249,329,223,144
3816,1515,403,40,396,92,226,299,312,247,220
3586,1978,366,167,277,86,383,311,372,199,339
4043,1518,432,144,251,80,347,474,0,161,467
3464,1945,631,60,186,100,352,225,333,267,272
2539,1397,303,173,277,0,484,598,382,212,302
4218,1538,365,185,244,65,542,256,490,199,222
4452,1115,407,210,325,140,373,160,424,0,419
2819,1102,396,155,280,127,205,591,303,153,266
3495,734,463,169,214,105,580,206,439,0,390
4310,1053,399,190,317,146,696,337,468,153,360
5029,937,410,101,272,111,593,470,524,217,429
5441,1535,422,187,211,217,603,176,380,193,322
3636,789,366,166,321,0,518,388,307,118,89
3909,1064,426,187,315,92,406,146,620,94,503
4687,1014,420,142,182,129,472,220,557,330,342
3677,1169,405,221,195,237,605,65,381,187,337
3600,1551,432,159,259,159,482,273,556,320,331
3759,1218,362,127,223,101,519,445,495,110,178
3523,1319,409,140,226,23,587,313,654,253,462
6016,1365,395,102,190,112,307,352,504,95,332
4812,1335,437,122,263,27,476,231,453,0,374
4162,1599,438,138,267,86,436,196,343,149,19
3874,612,417,196,143,127,703,184,444,193,261
3854,1280,438,148,221,151,535,207,278,253,321
3218,1346,288,183,208,69,388,231,1008,206,248
4442,1290,520,147,271,112,429,416,289,218,286
3961,1056,400,119,293,147,497,340,165,207,191
3910,1005,345,166,304,103,264,172,378,339,34
5597,1001,475,10,222,82,485,259,508,104,193
2944,1445,337,138,290,155,348,297,523,399,369
3624,1136,296,211,137,130,309,593,483,201,324
3787,1394,506,168,350,102,321,301,392,0,269
4574,1317,573,125,198,54,551,345,12,0,322
4057,1105,445,172,149,89,517,201,230,167,396
3281,1110,286,122,198,78,429,731,614,261,257
4460,1327,600,97,628,48,700,438,547,206,288
3666,1316,430,183,298,140,495,285,0,173,286
6248,1398,430,159,384,117,336,362,616,329,304
4540,1208,283,144,273,79,485,358,114,63,453
3776,1131,352,100,352,82,542,307,3,246,404
3333,1322,399,141,223,86,449,429,266,305,787
4034,1584,359,156,152,70,481,220,406,88,247
5715,925,527,115,277,185,560,213,473,198,371
4242,1140,394,151,256,79,520,300,575,236,787
3577,1418,353,197,288,192,563,263,410,135,293
3678,1343,382,157,32,79,571,9,351,242,301
4515,1421,374,168,280,46,345,227,239,307,179
3833,1214,417,137,243,63,557,87,427,255,449
3798,978,438,118,246,250,561,268,208,341,415
4991,1634,411,133,286,194,524,371,202,121,286
4212,1517,432,182,140,112,532,305,432,365,423
5031,1295,285,147,197,114,409,313,469,86,524
3466,1132,459,144,209,114,653,284,556,165,540
4012,1202,493,213,214,79,557,321,490,427,122
4706,1346,278,13,301,151,567,582,592,220,130
3960,1250,457,191,220,128,638,265,312,159,543
2237,1297,336,144,235,114,585,299,64,353,0
3469,1622,409,134,87,108,588,214,265,51,294
4214,1485,413,152,297,59,256,405,202,203,0
3906,1066,430,134,210,125,215,327,314,317,185
4493,1315,524,159,98,201,485,413,391,0,172
4594,1196,400,129,145,76,525,532,491,198,95
5295,1360,241,154,55,69,533,281,389,518,227
4290,1287,383,148,198,129,528,274,499,123,269
2274,1894,171,206,189,58,529,394,710,185,489
2769,1386,400,207,492,88,720,471,248,287,407
3823,1273,363,174,15,105,425,176,483,395,385
4169,1669,358,147,129,96,359,0,271,220,295
3852,1341,459,67,298,180,486,222,541,226,193
2661,996,301,173,289,135,436,275,505,112,179
4659,1275,380,136,0,119,457,184,165,227,269
3497,1423,400,162,296,102,332,172,0,176,263
4570,1397,438,93,85,87,482,395,1151,225,130
4659,1501,370,146,90,118,150,55,188,236,236
3941,1331,479,135,517,98,355,499,203,183,233
1270,2048,429,134,253,154,542,0,490,297,206
3696,1020,210,126,366,116,364,466,398,241,257
4648,1606,376,125,290,96,316,363,203,146,351
3989,1934,501,170,293,131,419,439,510,108,257
3500,1104,438,59,212,1,604,235,1097,309,246
3748,1826,538,168,252,83,422,362,154,284,276
3403,1636,445,142,164,113,394,324,714,0,405
4273,1967,156,255,136,19,707,221,222,103,274
3881,1707,372,238,121,111,534,50,450,178,186
3817,1156,284,98,423,96,593,358,271,239,368
3804,2019,430,94,353,101,558,188,300,131,173
3539,1335,342,116,283,91,401,180,241,492,450
4808,1465,396,158,315,104,524,172,182,110,80
3839,1457,126,99,185,137,378,222,435,112,353
6429,1258,410,153,273,85,598,329,371,217,502
4761,1170,396,171,402,82,632,249,538,295,392
4499,1185,326,134,310,110,511,810,487,10,250
3784,1561,376,123,222,94,840,156,474,137,93
4202,2079,407,85,123,142,656,351,412,0,174
3988,1003,422,195,152,121,633,263,277,298,261
3548,1373,479,205,47,126,299,290,504,137,161
4162,1322,636,187,267,128,545,368,439,325,317
3410,1216,365,142,385,80,474,425,379,0,395
4594,1226,365,148,255,103,345,86,338,120,224
3768,1127,328,171,139,120,654,294,372,172,348
4101,1167,350,154,233,100,405,278,251,234,323
2262,1358,443,57,253,73,586,157,592,204,363
3871,1244,321,178,221,128,432,501,602,151,234
4293,1409,392,187,250,95,371,184,424,16,129
3763,1143,385,182,278,109,505,247,409,179,362
4436,885,362,164,98,117,331,415,464,185,347
3327,1563,335,179,200,145,701,232,328,163,386
4063,1299,305,108,564,106,560,213,433,300,294
4969,1404,335,147,371,40,435,339,575,180,7
3500,1412,396,130,154,105,482,226,309,560,339
3661,1200,430,194,154,108,401,339,575,238,173
4257,1413,481,156,307,50,525,351,384,241,256
4090,846,417,145,402,144,356,338,475,445,115
4175,767,430,119,266,21,339,418,783,227,231
4245,1234,480,118,258,117,519,261,555,170,216
4317,2154,417,116,197,54,653,250,715,236,0
4555,1283,449,172,326,132,405,291,258,265,158
4205,1449,238,168,227,117,422,17,366,238,232
3879,1060,436,158,368,144,452,321,566,89,260
4336,1477,410,174,87,116,438,0,243,261,306
4950,1626,388,126,269,111,463,338,524,37,319
3934,1161,477,95,188,90,536,210,234,263,369
3513,1454,470,170,191,48,467,435,299,390,223
4554,1305,357,250,204,165,324,279,494,144,518
5797,1388,459,175,243,85,457,31,592,197,185
2914,1625,449,163,333,110,531,249,527,270,266
4424,1365,401,148,312,4,413,347,451,92,344
3732,1453,417,156,215,68,544,144,280,203,247
2580,1047,426,192,0,102,591,80,409,51,292
4166,1852,418,141,196,112,524,279,370,94,244
4095,1622,412,172,262,153,411,298,480,282,333
4355,1115,358,159,267,130,640,290,405,220,325
3782,1235,462,100,387,108,314,271,327,116,449
4257,1437,390,111,357,98,519,260,506,248,521
3870,1390,350,149,310,110,458,368,364,154,259
5831,1028,407,135,201,92,599,478,299,73,81
4308,1333,417,121,271,108,528,559,402,233,129
3532,1233,420,182,288,76,596,409,286,0,438
4543,1106,449,105,349,83,469,71,293,268,473
3732,1571,381,144,0,98,455,405,578,185,283
4404,1301,397,124,317,110,329,404,218,183,298
4184,1497,358,119,295,96,656,290,1060,301,390
4919,1065,412,226,212,106,628,393,582,134,306
3888,695,470,141,630,73,436,336,210,238,284
3825,1058,371,175,108,64,514,299,435,392,297
3990,1252,449,188,413,99,786,325,451,204,759
3848,1201,407,177,349,49,563,245,420,333,432
4400,1039,471,174,397,126,529,116,0,108,96
3192,1126,459,97,218,59,452,112,341,0,545
3473,1209,411,245,247,88,468,392,874,306,342
3466,1105,418,161,194,115,500,197,331,218,357
4475,1146,388,143,233,127,462,147,587,147,612
4855,816,452,148,312,119,689,145,637,33,492
3948,1356,418,158,197,115,486,252,102,185,212
3916,1518,445,142,321,240,484,452,406,179,95
4035,1148,368,139,231,68,467,285,410,302,339
4581,1305,332,121,332,109,385,157,439,132,130
3536,1216,425,165,352,119,583,448,349,183,330
4119,1202,435,145,175,111,328,333,502,274,399
4488,1237,404,126,92,86,534,466,572,184,308
4251,1261,429,153,262,116,368,349,523,151,279
4095,562,357,151,269,114,545,301,0,224,185
4501,1234,447,88,158,137,605,228,395,189,254
2648,1966,459,149,625,114,562,245,342,244,185
4339,959,451,169,223,43,424,176,0,301,787
3673,1511,406,142,298,124,400,253,427,112,338
4097,1226,459,144,195,88,490,393,184,211,117
4256,1262,506,158,138,94,385,390,1271,81,486
3287,1298,429,227,512,66,423,282,753,204,341
3931,1441,436,186,181,104,455,284,483,241,297
4476,1124,425,181,309,159,227,441,350,175,351
4806,1169,353,149,188,132,376,340,552,229,330
4657,1940,411,108,234,64,517,162,316,224,383
4820,960,387,171,485,94,438,383,610,244,437
4371,1293,302,166,248,130,615,342,716,110,305
4038,707,341,157,202,95,602,273,396,281,371
3199,357,458,173,304,39,580,344,521,176,207
3877,972,380,139,321,185,605,266,580,76,303
3578,1454,453,175,342,141,683,319,344,131,340
5085,1332,457,124,0,145,252,321,356,106,311
3912,1166,427,63,166,95,488,417,49,160,401
4062,1267,369,163,266,92,386,349,499,136,159
4276,1081,447,148,278,31,553,405,373,85,78
5482,1193,562,176,278,97,537,339,349,75,377
4848,1260,402,173,365,83,538,294,704,198,227
3689,1313,354,135,258,43,452,351,403,307,399
4097,1378,375,125,407,71,532,334,344,210,259
3629,939,355,126,316,133,549,264,604,155,267
3340,1379,448,207,318,102,458,0,341,121,398
3694,955,477,145,257,147,392,248,464,104,274
3981,1386,446,142,227,95,649,247,408,180,192
3785,1257,410,159,204,108,582,356,422,0,354
5561,1518,552,102,264,174,126,293,43,241,213
3297,1165,424,138,316,43,71,219,466,173,440
3958,1456,379,124,235,106,457,284,527,304,239
3248,1067,398,118,222,134,570,268,527,103,208
4380,2002,359,142,173,109,301,208,700,116,296
4041,892,433,151,288,51,372,447,272,231,284
3271,1477,435,112,170,158,476,281,259,163,73
3845,1645,445,139,280,125,516,221,521,158,243
5518,1160,428,152,271,108,698,134,295,141,139
4160,1325,424,164,240,59,530,309,616,96,205
4670,1389,348,142,340,169,445,352,506,42,265
3062,990,346,160,369,118,347,235,499,0,648
4058,1150,417,139,92,113,531,314,434,115,668
3920,1138,455,188,138,118,565,191,381,222,15
4336,1781,387,86,294,129,597,277,510,196,312
4107,1509,400,130,377,103,90,408,525,416,153
3624,1257,401,135,148,96,555,277,482,162,32
1874,1456,308,162,282,151,145,236,385,282,293
3602,1342,412,134,119,76,683,434,616,139,265
4538,1419,373,160,111,159,397,320,344,270,453
4011,1089,431,159,405,75,509,250,367,301,230
4951,855,275,139,279,91,496,0,496,222,185
2085,536,391,170,135,65,336,185,662,171,162
3646,1157,392,151,234,115,637,343,200,185,340
3243,1418,384,169,191,92,409,377,331,258,15
3098,1369,332,226,218,91,417,300,309,174,268
3208,1305,448,188,226,142,481,280,272,379,346
4134,1468,368,139,266,113,418,27,477,141,270
4254,1068,377,163,284,144,558,158,500,252,436
3209,1669,404,154,388,49,501,308,392,271,284
4448,1200,344,158,195,91,607,302,507,77,495
3758,1282,375,103,280,95,321,341,812,216,128
4073,1672,496,182,0,77,268,348,491,177,287
4806,1158,417,81,201,135,426,259,115,176,265
4448,1505,357,149,258,135,493,105,0,275,111
3866,1257,296,97,252,107,533,192,475,184,176
3554,1132,450,129,217,80,46,252,279,308,0
2924,1223,349,156,329,134,370,386,438,0,0
3640,1413,373,176,556,91,562,0,495,112,205
3894,1503,379,181,401,129,460,311,412,177,324
3506,1345,354,247,231,173,620,247,593,153,215
3934,1523,529,180,303,100,562,261,451,138,382
4038,1427,372,148,359,105,535,171,401,28,297
3888,1272,431,129,183,79,693,376,188,278,218
3675,1080,407,161,223,131,443,378,185,0,171
4084,1369,472,122,342,106,453,378,233,239,236
4221,1527,473,146,300,62,564,257,504,142,343
3455,1301,352,136,0,79,495,333,337,241,206
4705,1084,384,103,146,159,429,500,244,363,350
3951,1904,508,235,153,93,435,329,383,243,349
4009,1395,342,154,216,67,368,184,389,200,499
4354,1239,440,185,190,106,510,215,283,208,445
4117,1464,427,94,192,84,569,210,443,292,220
4477,1483,358,129,113,94,493,432,646,114,466
5152,1459,360,184,148,116,578,339,250,192,309
3694,1237,492,166,184,110,494,143,463,203,314
4181,1497,491,172,259,101,471,430,220,228,340
3428,1377,551,194,13,82,532,357,182,145,295
4054,1106,331,127,254,47,476,317,228,51,258
3983,1224,463,124,251,158,494,152,122,36,657
3896,588,330,176,0,156,491,66,955,377,378
2294,902,436,269,330,101,369,436,256,232,281
3059,1501,319,146,305,125,528,79,717,113,433
3726,2586,400,145,253,99,386,227,215,163,255
4046,1542,444,121,210,77,462,379,168,180,437
3012,1333,259,197,352,102,709,468,428,318,220
3486,1197,374,211,174,104,609,178,64,190,207
4633,1115,408,184,323,145,428,258,171,282,329
3567,1330,383,170,185,103,619,317,248,215,389
4485,1494,366,168,349,151,462,206,239,206,222
4214,674,573,160,285,95,522,274,297,125,129
4949,1813,452,97,317,83,321,458,298,260,331
4888,1023,468,136,266,145,460,0,262,0,141
3403,1345,435,175,572,142,617,0,531,284,290
4460,1314,478,125,252,102,469,327,382,202,73
4500,1301,373,155,0,110,403,347,402,193,0
3665,1642,547,185,332,109,378,214,392,419,336
4696,1316,349,185,230,106,635,282,386,165,491
3875,1210,547,178,257,89,628,271,416,166,324
4144,1558,405,159,131,172,277,116,477,203,322
4130,1624,440,174,237,88,493,182,565,319,252
3933,1222,312,239,280,117,585,427,550,92,385
4405,971,439,201,379,106,581,326,781,210,227
4397,1364,406,102,245,24,492,407,821,333,174
3126,1356,423,152,224,104,553,243,297,112,294
4652,1321,401,136,201,92,374,178,517,169,181
3169,1887,394,170,202,83,490,205,265,264,373
4516,1576,385,140,384,69,488,370,405,109,184
4563,1467,396,336,170,154,360,256,744,314,290
3455,865,473,177,219,67,460,138,667,294,302
3795,1451,382,120,357,94,699,318,265,220,393
5025,1350,513,70,336,84,544,268,0,0,463
3893,652,403,116,424,68,490,270,93,164,566
3846,1590,309,167,486,123,727,0,404,274,452
4390,1321,457,142,495,113,674,149,337,172,100
4655,1111,322,198,296,85,601,0,386,201,507
4698,1074,332,201,174,72,566,207,355,178,477
3719,1116,366,175,242,116,458,243,347,224,101
3895,1053,323,140,178,113,275,98,332,217,427
3158,1434,379,249,357,96,634,194,408,0,0
3597,1265,401,180,401,143,638,209,578,318,304
